"","lake","Risk_Level","Region","Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH3 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (ug/L)"
"135","Bde Maka Ska","At Risk","South Metro",2023-10-25,"Epi",18.1192510542592,3.6964,27.2272,0.7045,0.024,0.003,25.4021,5.4981,1.8147,165.41
"136","Cedar","Least Impacted","South Metro",2023-10-25,"Epi",18.7597908349733,2.8524,29.5111,0.8606,0.0306,0.0072,24.6082,6.9023,2.1966,157.97
"137","Brownie","Impacted","South Metro",2023-10-25,"Epi",27.3297093055946,10.814,58.3218,1.0725,0.1379,0.1797,26.175,4.5416,5.3144,245
"138","Minnetonka","Least Impacted"," West Metro",2023-10-23,"Hypo",NA,66.1954,187.9552,1.5999,0.323,0.014,26.2229,7.8181,7.7524,43.52
"139","Medicine","At Risk"," West Metro",2023-10-23,"Hypo",NA,76.1893,203.3335,1.2864,0.2224,0.1111,19.7155,7.477,9.6449,173.64
"140","Parkers","Impacted"," West Metro",2023-10-23,"Hypo",NA,718.7436,870.487,5.331,3.99024567375886,0.0059,NA,6.4434,16.8498,621.8
"141","Snail","Least Impacted","North Metro",2023-11-13,"Hypo",NA,20.7127,63.9519,0.6379,0.0263,0.0147,17.4028,7.4332,NA,111.38
"142","Little Johanna","Impacted","North Metro",2023-10-26,"Hypo",NA,959.1008,NA,43.878,NA,0.0105,59.8218,8.6943,1.9952,NA
"143","Wabasso","At Risk","North Metro",2023-11-13,"Hypo",NA,172.2754,536.8317,3.2306,2.25296073705179,0.0026,28.8271,8.0474,NA,68.99
"144","McCarrons","At Risk","East Metro",2023-10-26,"Hypo",NA,591.527,676.6765,6.803,4.51678838509015,0.0029,45.3968,6.1694,10.7862,163.97
"145","Tanners","Impacted","East Metro",2023-10-24,"Hypo",NA,1520.81,1580.318,4.561,3.34849619938606,0.0037,39.9457,8.4398,10.417,238.08
"146","Phalen","Least Impacted","East Metro",2023-10-24,"Hypo",NA,436.4024,524.5033,2.7922,1.9857,0.0045,40.1825,6.82,7.018,179.13
"147","Bde Maka Ska","At Risk","South Metro",2023-10-25,"Hypo",NA,346.672,531.7551,3.2317,1.3995,0.0169,42.4356,6.1193,4.7059,175.23
"148","Cedar","Least Impacted","South Metro",2023-10-25,"Hypo",NA,401.343,467.669,4.6511,3.26657158372828,0.0061,47.3625,7.286,8.6126,168.06
"149","Brownie","Impacted","South Metro",2023-10-25,"Hypo",NA,681.185,NA,48.268,NA,0.017,NA,8.8094,2.7169,NA
"150","Snail","Least Impacted","North Metro",2024-02-13,"Hypo",NA,5.0422,18.9883,0.7545,0.0335,0.0076,23.5646,7.5169,0.1211,118.75
"151","Snail","Least Impacted","North Metro",2024-02-13,"Epi",NA,9.2718,29.7755,0.6078,0.0181,0.0101,19.7002,6.9118,-0.0024,109.53
"152","Tanners","Impacted","East Metro",2024-02-14,"Epi",NA,94.9355,41.181,0.912,0.4358,0.116,31.0705,6.462,0.6688,203.75
"153","Tanners","Impacted","East Metro",2024-02-14,"Hypo",NA,19.3599,136.0421,1.275,0.1695,0.1176,38.4082,7.0462,3.4186,192.04
"154","Phalen","Least Impacted","East Metro",2024-02-14,"Epi",NA,58.8504,49.27,0.777,0.2854,0.0591,28.0947,5.7063,0.2405,200.85
"155","Phalen","Least Impacted","East Metro",2024-02-14,"Hypo",NA,26.0992,78.012,0.9,0.1986,0.0521,30.4368,5.9608,1.3978,209.27
"156","Henry","Impacted","Central MN",2024-02-21,"Hypo",NA,19.2568,60.1793,2.8316,1.3119,0.1638,45.9619,7.9107,8.7117,451.14
"157","Henry","Impacted","Central MN",2024-02-21,"Epi",NA,59.7505,75.5264,1.6575,0.2538,0.1856,34.2338,8.3427,3.8028,453.32
"158","Uhlenkolts","At Risk","Central MN",2024-02-21,"Hypo",NA,551.055,707.804,5.8552,2.9438,0.2319,47.4291,13.2743,14.2837,39.71
"159","Uhlenkolts","At Risk","Central MN",2024-02-21,"Epi",NA,301.3745,515.9819,4.0523,1.0982,0.2508,32.8368,12.3362,11.2074,33.21
"160","Smith","Least Impacted","Central MN",2024-02-21,"Hypo",NA,12.1162,30.1039,0.9026,0.0222,0.3681,40.9826,5.8185,NA,19.53
"161","Smith","Least Impacted","Central MN",2024-02-21,"Epi",NA,NA,43.1012,0.6892,0.0569,0.1752,33.2485,5.2079,20.8194,17.09
"162","Minnetonka","Least Impacted"," West Metro",2024-04-11,"Hypo",NA,15.7312,22.5676,0.8538,0.0313,-0.004,28.8065,8.6168,0.4912,51.83
"163","Minnetonka","Least Impacted"," West Metro",2024-04-11,"Epi",1.16,23.1289,81.1358,0.641,0.0123,-6e-04,28.0425,8.6535,0.4912,52.34
"164","Medicine","At Risk"," West Metro",2024-04-11,"Hypo",NA,171.4741,2922.54,0.9397,0.0469,0.0085,24.0939,12.6396,3.0737,169.36
